sample_name,sampleID,region,lat,long,r420,d13c,r_ra,r_ea_err,rc_ra,rc_ra_err,co3_he3,co2_he3_err,phase,origin,reference
Todoss Santos,TSA,CVZ,-19.05,-68.85,0.11,NA,3.4,NA,3.4,NA,NA,NA,W,published,1994Hoke
Torta de Tocorpuri,TT06,CVZ,-22.38,-67.5,305,-11.2,1.31,NA,NA,NA,8000000000,NA,G,published,2010Tassi
Vilama,v1,CVZ,-22.53,-66.98,2.1,-7.15,NA,NA,0.56,NA,1100000000000,NA,G,published,2017PeraltaArnold
Vocan Irruptupuncu,VIR,CVZ,-20.73,-68.53,NA,NA,4.96,NA,4.96,NA,NA,NA,G,published,1994Hoke
Volcan Isluga,VI,CVZ,-19.17,-68.83,106,NA,5.51,NA,5.52,NA,NA,NA,G,published,1994Hoke
Volcan Olca,VO,CVZ,-20.95,-68.47,13.52,NA,1.75,NA,1.77,NA,NA,NA,G,published,1994Hoke
Volcan Ollaque,VOL,CVZ,-21.3,-68.18,4.9,NA,1.8,NA,1.86,NA,NA,NA,G,published,1994Hoke
NA,Cba,CVZ,-26.76,-67.74,7.8,-5.2,NA,NA,2.16,NA,226000000000,NA,W,published,2019Chiodi
NA,EM1,CVZ,-26.85,-67.71,8.7,-9.1,NA,NA,NA,NA,NA,NA,W,published,2019Chiodi
NA,LH1,CVZ,-26.88,-67.77,6.1,-7.5,NA,NA,NA,NA,NA,NA,W,published,2019Chiodi
NA,LH2,CVZ,-26.88,-67.77,6.1,-7.8,NA,NA,1.11,NA,63100000000,NA,W,published,2019Chiodi
NA,LH3,CVZ,-26.88,-67.77,5.4,-9.6,NA,NA,NA,NA,NA,NA,W,published,2019Chiodi
